slug,pre_period_scale,value_col
bab_el_mandeb_strait,17.526662277814353,n_tanker
balabac_strait,3.5062541145490456,n_tanker
bering_strait,0.35813034891375906,n_tanker
bohai_strait,36.6899275839368,n_tanker
bosporus_strait,23.56221198156682,n_tanker
cape_of_good_hope,13.701777485187623,n_tanker
dover_strait,61.65240289664253,n_tanker
gibraltar_strait,46.975641869651085,n_tanker
kerch_strait,3.3192890059249507,n_tanker
korea_strait,61.06122448979592,n_tanker
lombok_strait,7.41211323238973,n_tanker
luzon_strait,25.45687952600395,n_tanker
magellan_strait,1.0809743252139565,n_tanker
makassar_strait,5.21395655036208,n_tanker
malacca_strait,82.47531270572745,n_tanker
mindoro_strait,3.410796576695194,n_tanker
mona_passage,2.5016458196181697,n_tanker
ombai_strait,3.8795260039499673,n_tanker
oresund_strait,11.598420013166557,n_tanker
panama_canal,12.366030283080974,n_tanker
strait_of_hormuz,57.09348255431205,n_tanker
suez_canal,18.736668861092824,n_tanker
sunda_strait,11.556287030941409,n_tanker
taiwan_strait,51.88215931533904,n_tanker
torres_strait,2.1033574720210666,n_tanker
tsugaru_strait,12.18235681369322,n_tanker
windward_passage,1.8894009216589862,n_tanker
yucatan_channel,24.127057274522713,n_tanker
bab_el_mandeb_strait,877512.2030323006,capacity_tanker
balabac_strait,38932.63330950679,capacity_tanker
bering_strait,8085.241276911655,capacity_tanker
bohai_strait,697473.4489795918,capacity_tanker
bosporus_strait,462311.8774703557,capacity_tanker
cape_of_good_hope,921778.1692002644,capacity_tanker
dover_strait,1479699.8229098092,capacity_tanker
gibraltar_strait,1421508.67281106,capacity_tanker
kerch_strait,16586.120335110434,capacity_tanker
korea_strait,829243.5608953258,capacity_tanker
lombok_strait,145546.6372745491,capacity_tanker
luzon_strait,1627745.7015810276,capacity_tanker
magellan_strait,49654.618548387094,capacity_tanker
makassar_strait,71060.50476190477,capacity_tanker
malacca_strait,3495298.0750493747,capacity_tanker
mindoro_strait,58469.29154302671,capacity_tanker
mona_passage,74262.17629846379,capacity_tanker
ombai_strait,88754.49085123309,capacity_tanker
oresund_strait,28234.50166112957,capacity_tanker
panama_canal,316316.61092824227,capacity_tanker
strait_of_hormuz,2711289.814351547,capacity_tanker
suez_canal,875321.228439763,capacity_tanker
sunda_strait,289159.69256089535,capacity_tanker
taiwan_strait,834775.0500329164,capacity_tanker
torres_strait,47172.10903173312,capacity_tanker
tsugaru_strait,129855.65873015873,capacity_tanker
windward_passage,46795.65101214575,capacity_tanker
yucatan_channel,712262.7628458499,capacity_tanker
