protocol_id,protocol_sha256,locked_utc,lock_stage,checkpoint_status,preregistered,results_blinded,outcome,unit,analysis_start,training_end,locked_cutoff,scoring_end,expected_scored_days,primary_range_label,model,estimator_family,pre_treatment_admission_passed,pinned_130_day_support_verified,same_information_contract,representative_matrix_selected,status_code,fit_inputs,post_outcome_ingested,post_covariates_ingested,reason
portwatch_same_information_vintage_matrix_v2,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,2026-08-09T21:18:46Z,before_persisted_matrix_and_before_august_chronos_run,local_byte_level_lock_pending_git_anchor_and_human_verification,False,False,hormuz_tanker_transits,transits_per_day,2022-01-01,2026-02-27,2026-02-28,2026-07-07,130,selected_four_specification_same_information_range,seasonal_naive_7d,seasonal_benchmark,True,True,True,True,INCLUDE_PREDECLARED_BENCHMARK,pre-cutoff outcome history only,False,False,Predeclared transparent benchmark in actual transit units.
portwatch_same_information_vintage_matrix_v2,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,2026-08-09T21:18:46Z,before_persisted_matrix_and_before_august_chronos_run,local_byte_level_lock_pending_git_anchor_and_human_verification,False,False,hormuz_tanker_transits,transits_per_day,2022-01-01,2026-02-27,2026-02-28,2026-07-07,130,selected_four_specification_same_information_range,ar_lag1_7,autoregressive_primary,True,True,True,True,INCLUDE_LOCKED_PRIMARY,pre-cutoff outcome history only,False,False,Locked working primary in actual transit units.
portwatch_same_information_vintage_matrix_v2,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,2026-08-09T21:18:46Z,before_persisted_matrix_and_before_august_chronos_run,local_byte_level_lock_pending_git_anchor_and_human_verification,False,False,hormuz_tanker_transits,transits_per_day,2022-01-01,2026-02-27,2026-02-28,2026-07-07,130,selected_four_specification_same_information_range,chronos2,foundation_time_series,True,True,True,True,INCLUDE_HISTORICALLY_IMPLEMENTED_FAMILY_REPRESENTATIVE,pre-cutoff outcome context and frozen pretrained weights,False,False,Existing calibration-anchor robustness implementation; not selected as universal MASE winner.
portwatch_same_information_vintage_matrix_v2,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,2026-08-09T21:18:46Z,before_persisted_matrix_and_before_august_chronos_run,local_byte_level_lock_pending_git_anchor_and_human_verification,False,False,hormuz_tanker_transits,transits_per_day,2022-01-01,2026-02-27,2026-02-28,2026-07-07,130,selected_four_specification_same_information_range,bsts_local_level_weekly,bayesian_state_space,True,True,True,True,INCLUDE_EXISTING_STATE_SPACE_CROSSCHECK,pre-cutoff outcome history and fixed prior settings,False,False,Existing outcome-only state-space cross-check in actual transit units.
portwatch_same_information_vintage_matrix_v2,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,2026-08-09T21:18:46Z,before_persisted_matrix_and_before_august_chronos_run,local_byte_level_lock_pending_git_anchor_and_human_verification,False,False,hormuz_tanker_transits,transits_per_day,2022-01-01,2026-02-27,2026-02-28,2026-07-07,130,selected_four_specification_same_information_range,timesfm,foundation_time_series,True,False,True,False,NOT_RUN_COMMON_WINDOW_ADDITIONAL_FAMILY_MEMBER,pre-cutoff outcome context and frozen pretrained weights,False,False,"Passed the pre-period gate, but no frozen common-window 130-day comparison cell exists."
portwatch_same_information_vintage_matrix_v2,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,2026-08-09T21:18:46Z,before_persisted_matrix_and_before_august_chronos_run,local_byte_level_lock_pending_git_anchor_and_human_verification,False,False,hormuz_tanker_transits,transits_per_day,2022-01-01,2026-02-27,2026-02-28,2026-07-07,130,selected_four_specification_same_information_range,moirai,foundation_time_series,True,False,True,False,NOT_RUN_COMMON_WINDOW_ADDITIONAL_FAMILY_MEMBER,pre-cutoff outcome context and frozen pretrained weights,False,False,"Passed the pre-period gate, but no frozen common-window 130-day comparison cell exists."
portwatch_same_information_vintage_matrix_v2,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,2026-08-09T21:18:46Z,before_persisted_matrix_and_before_august_chronos_run,local_byte_level_lock_pending_git_anchor_and_human_verification,False,False,hormuz_tanker_transits,transits_per_day,2022-01-01,2026-02-27,2026-02-28,2026-07-07,130,selected_four_specification_same_information_range,arx_lag1_7_route,conditional_autoregression,True,True,False,False,EXCLUDE_OBSERVED_POST_COVARIATES,outcome history plus Panama route covariates,False,True,Uses observed post-cutoff route covariates; visible as a same-unit mixed-information sensitivity only.
portwatch_same_information_vintage_matrix_v2,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,2026-08-09T21:18:46Z,before_persisted_matrix_and_before_august_chronos_run,local_byte_level_lock_pending_git_anchor_and_human_verification,False,False,hormuz_tanker_transits,transits_per_day,2022-01-01,2026-02-27,2026-02-28,2026-07-07,130,selected_four_specification_same_information_range,arx_lag1_7_route_energy,conditional_autoregression,True,True,False,False,EXCLUDE_OBSERVED_POST_COVARIATES,outcome history plus Panama route and energy covariates,False,True,Uses observed post-cutoff route and energy covariates; visible as a same-unit mixed-information sensitivity only.
portwatch_same_information_vintage_matrix_v2,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,2026-08-09T21:18:46Z,before_persisted_matrix_and_before_august_chronos_run,local_byte_level_lock_pending_git_anchor_and_human_verification,False,False,hormuz_tanker_transits,transits_per_day,2022-01-01,2026-02-27,2026-02-28,2026-07-07,130,selected_four_specification_same_information_range,synthetic_control,donor_weighted_comparison,False,True,False,False,EXCLUDE_POST_DONORS_AND_MEAN_SCALED_UNITS,pre-cutoff donor fit plus post-cutoff donor outcomes,False,True,"Uses post-cutoff donors and reports mean-scaled transit equivalents, not direct transit-count forecasts."
portwatch_same_information_vintage_matrix_v2,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,2026-08-09T21:18:46Z,before_persisted_matrix_and_before_august_chronos_run,local_byte_level_lock_pending_git_anchor_and_human_verification,False,False,hormuz_tanker_transits,transits_per_day,2022-01-01,2026-02-27,2026-02-28,2026-07-07,130,selected_four_specification_same_information_range,stub_seasonal,test_adapter,False,False,False,False,EXCLUDE_TEST_FIXTURE,test fixture,False,False,"Dependency-free plumbing fixture, not an empirical result."
