donor_slug,weight,unit,value_col
balabac_strait,0.017869193149327372,strait_of_hormuz,n_tanker
bering_strait,0.003078181672269891,strait_of_hormuz,n_tanker
bohai_strait,0.00799365885787993,strait_of_hormuz,n_tanker
bosporus_strait,0.09590859045428979,strait_of_hormuz,n_tanker
dover_strait,0.10689194744936881,strait_of_hormuz,n_tanker
kerch_strait,0.011080136254419599,strait_of_hormuz,n_tanker
korea_strait,0.2158602043525913,strait_of_hormuz,n_tanker
lombok_strait,0.010366353120774057,strait_of_hormuz,n_tanker
luzon_strait,0.15512581673383635,strait_of_hormuz,n_tanker
magellan_strait,0.003277686299197533,strait_of_hormuz,n_tanker
makassar_strait,0.0005791991362523983,strait_of_hormuz,n_tanker
malacca_strait,0.14789453134261812,strait_of_hormuz,n_tanker
mindoro_strait,0.014247386534835808,strait_of_hormuz,n_tanker
mona_passage,0.00472492813705377,strait_of_hormuz,n_tanker
ombai_strait,0.00801390405556784,strait_of_hormuz,n_tanker
oresund_strait,0.02530039710428928,strait_of_hormuz,n_tanker
sunda_strait,0.0,strait_of_hormuz,n_tanker
taiwan_strait,0.13723000242521424,strait_of_hormuz,n_tanker
torres_strait,0.006838789844610514,strait_of_hormuz,n_tanker
tsugaru_strait,0.0,strait_of_hormuz,n_tanker
windward_passage,0.027719093075603433,strait_of_hormuz,n_tanker
yucatan_channel,0.0,strait_of_hormuz,n_tanker
bering_strait,0.0,balabac_strait,n_tanker
bohai_strait,0.019985368316271075,balabac_strait,n_tanker
bosporus_strait,0.034940999505161774,balabac_strait,n_tanker
dover_strait,0.06764228789886813,balabac_strait,n_tanker
kerch_strait,0.018943314775832984,balabac_strait,n_tanker
korea_strait,0.15176480300574527,balabac_strait,n_tanker
lombok_strait,0.0580494088257379,balabac_strait,n_tanker
luzon_strait,0.15879857081953608,balabac_strait,n_tanker
magellan_strait,0.009965902769996775,balabac_strait,n_tanker
makassar_strait,0.15065896193121947,balabac_strait,n_tanker
malacca_strait,0.0,balabac_strait,n_tanker
mindoro_strait,0.05996785332590345,balabac_strait,n_tanker
mona_passage,0.0,balabac_strait,n_tanker
ombai_strait,0.03903284451660122,balabac_strait,n_tanker
oresund_strait,0.0,balabac_strait,n_tanker
sunda_strait,0.04480829403031634,balabac_strait,n_tanker
